Station,Date,On or Off,Time,Passenger
하단,20190125,하차,6,880
하단,20190125,하차,7,1400
하단,20190125,하차,8,1309
하단,20190125,하차,9,1066
하단,20190125,하차,10,836
하단,20190125,하차,11,845
하단,20190125,하차,12,917
하단,20190125,하차,13,965
하단,20190125,하차,14,1077
하단,20190125,하차,15,1163
하단,20190125,하차,16,1368
하단,20190125,하차,17,1663
하단,20190125,하차,18,2125
하단,20190125,하차,19,1382
하단,20190125,하차,20,901
하단,20190125,하차,21,768
하단,20190125,하차,22,651
하단,20190125,하차,23,404
하단,20190126,승차,6,280
하단,20190126,승차,7,498
하단,20190126,승차,8,881
하단,20190126,승차,9,940
하단,20190126,승차,10,1190
하단,20190126,승차,11,1348
하단,20190126,승차,12,1468
하단,20190126,승차,13,1622
하단,20190126,승차,14,1470
하단,20190126,승차,15,1366
하단,20190126,승차,16,1490
하단,20190126,승차,17,1827
하단,20190126,승차,18,1551
하단,20190126,승차,19,894
하단,20190126,승차,20,719
하단,20190126,승차,21,697
하단,20190126,승차,22,488
하단,20190126,승차,23,195
하단,20190126,하차,6,561
하단,20190126,하차,7,598
하단,20190126,하차,8,851
하단,20190126,하차,9,990
하단,20190126,하차,10,705
하단,20190126,하차,11,845
하단,20190126,하차,12,946
하단,20190126,하차,13,1214
하단,20190126,하차,14,1053
하단,20190126,하차,15,1227
하단,20190126,하차,16,1213
하단,20190126,하차,17,1450
하단,20190126,하차,18,1528
하단,20190126,하차,19,1104
하단,20190126,하차,20,834
하단,20190126,하차,21,804
하단,20190126,하차,22,595
하단,20190126,하차,23,400
하단,20190127,승차,6,211
하단,20190127,승차,7,302
하단,20190127,승차,8,552
하단,20190127,승차,9,617
하단,20190127,승차,10,783
하단,20190127,승차,11,956
하단,20190127,승차,12,1104
하단,20190127,승차,13,1180
하단,20190127,승차,14,1510
하단,20190127,승차,15,1398
하단,20190127,승차,16,1284
하단,20190127,승차,17,1224
하단,20190127,승차,18,1000
하단,20190127,승차,19,723
하단,20190127,승차,20,810
하단,20190127,승차,21,729
하단,20190127,승차,22,424
하단,20190127,승차,23,232
하단,20190127,하차,6,313
하단,20190127,하차,7,319
하단,20190127,하차,8,525
하단,20190127,하차,9,1147
